MAIN_ID,RA,DEC,COO_WAVELENGTH,COO_BIBCODE,OTYPE,COO_BIBCODE_2
[CHP2004] J122942.0+075848,12 29 42.0,+07 58 48,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
2XMM J122934.4+075851,12 29 34.475,+07 58 51.69,O,2009yCat.2294....0A,XB,2009yCat.2294....0A
[CHP2004] J122949.0+075851,12 29 49.0,+07 58 51,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  543,12 29 46.1,+07 59 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[H2009] NGC 4472  39,12 29 46.07,+07 59 15.1,O,2009ApJ...690..512H,GlCl?,2009ApJ...690..512H
CXOU J122946.0+075915,12 29 46.07,+07 59 15.1,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[CHP2004] J122950.1+075944,12 29 50.1,+07 59 44,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4587832+7.9953942,12 29 50.1080,+07 59 43.419,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122943.5+075947,12 29 43.5,+07 59 47,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[SGT2004] J122942.31+080008.0,12 29 42.33,+08 00 07.8,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[CHP2004] J122942.3+080008,12 29 42.3,+08 00 08,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229470+080013,12 29 47.0,+08 00 13,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122947.7+080027,12 29 47.7,+08 00 27,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.3938163+8.0089570,12 29 34.5159,+08 00 32.245,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[SGT2004] J122934.49+080032.3,12 29 34.49,+08 00 32.3,,2004ApJS..154..519S,XB,2004ApJS..154..519S
[CHP2004] J122952.7+080156,12 29 52.7,+08 01 56,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229512+080225,12 29 51.2,+08 02 25,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122944.0+075532,12 29 44.0,+07 55 32,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
2XMM J122954.3+075613,12 29 54.36,+07 56 13.2,X,2012ApJ...756...27L,ULX?,2012ApJ...756...27L
[CHP2004] J122942.2+075702,12 29 42.2,+07 57 02,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  277,12 29 43.8,+07 57 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[MKZ2003] OID  273,12 29 43.8,+07 57 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[CHP2004] J122943.8+075715,12 29 43.8,+07 57 15,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[SGT2004] J122940.99+075744.2,12 29 41.00,+07 57 44.7,,2000AJ....120.2928Z,GlCl,2000AJ....120.2928Z
CXOU J122941.0+075744,12 29 41.0,+07 57 44,,2011MNRAS.410.1655M,Candidate_BH,2011MNRAS.410.1655M
[CHP2004] J122941.0+075744,12 29 41.0,+07 57 44,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  882,12 29 49.33,+07 57 53.7,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[CHP2004] J122945.7+075809,12 29 45.7,+07 58 09,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
