MAIN_ID,RA,DEC,COO_WAVELENGTH,COO_BIBCODE,OTYPE,COO_BIBCODE_2
[MKZ2003] OID  129,12 29 42.3,+07 57 02,O,2003ApJ...586..814M,Unknown,2003ApJ...586..814M
[CHP2004] J122942.2+075702,12 29 42.2,+07 57 02,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  277,12 29 43.8,+07 57 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[MKZ2003] OID  273,12 29 43.8,+07 57 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[CHP2004] J122943.8+075715,12 29 43.8,+07 57 15,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID   48,12 29 41.4,+07 57 27,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[CHP2004] J122941.4+075727,12 29 41.4,+07 57 27,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  509,12 29 45.80,+07 57 44.1,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[SGT2004] J122940.99+075744.2,12 29 41.00,+07 57 44.7,,2000AJ....120.2928Z,GlCl,2000AJ....120.2928Z
CXOU J122941.0+075744,12 29 41.0,+07 57 44,,2011MNRAS.410.1655M,Candidate_BH,2011MNRAS.410.1655M
[CHP2004] J122941.0+075744,12 29 41.0,+07 57 44,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  882,12 29 49.33,+07 57 53.7,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[CHP2004] J122949.3+075753,12 29 49.3,+07 57 53,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[C88] NGC 4472 196,12 29 43.87,+07 57 57.2,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
CXOMKZ J1229516+075759,12 29 51.6,+07 57 59,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122945.7+075809,12 29 45.7,+07 58 09,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122941.5+075832,12 29 41.5,+07 58 32,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4463375+7.9760394,12 29 47.1210,+07 58 33.742,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
2XMM J122937.8+075845,12 29 37.790,+07 58 45.65,O,2009yCat.2294....0A,XB,2009yCat.2294....0A
[GLK96]  3289,12 29 37.79,+07 58 46.2,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[H2009] NGC 4472 108,12 29 42.97,+07 58 46.2,O,2009ApJ...690..512H,GlCl?,2009ApJ...690..512H
[MKZ2003] XID   36,12 29 42.97,+07 58 46.2,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[JPB2009] 187.4458773+7.9796141,12 29 47.0106,+07 58 46.611,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122947.0+075847,12 29 47.0,+07 58 47,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122942.0+075848,12 29 42.0,+07 58 48,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122949.0+075851,12 29 49.0,+07 58 51,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
2XMM J122934.4+075851,12 29 34.475,+07 58 51.69,O,2009yCat.2294....0A,XB,2009yCat.2294....0A
[CHP2004] J122941.4+075854,12 29 41.4,+07 58 54,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122941.4+075904,12 29 41.4,+07 59 04,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  543,12 29 46.1,+07 59 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[H2009] NGC 4472  39,12 29 46.07,+07 59 15.1,O,2009ApJ...690..512H,GlCl?,2009ApJ...690..512H
CXOU J122946.0+075915,12 29 46.07,+07 59 15.1,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[JPB2009] 187.4413936+7.9879625,12 29 45.94,+07 59 16.6,O,2009ApJ...690..512H,GlCl,2009ApJ...690..512H
CXOMKZ J1229513+075917,12 29 51.3,+07 59 17,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
CXOMKZ J1229458+075919,12 29 45.8,+07 59 19,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.4406423+7.9887540,12 29 45.76,+07 59 19.4,O,2009ApJ...690..512H,GlCl,2009ApJ...690..512H
[JPB2009] 187.4130884+7.9887370,12 29 39.1412,+07 59 19.453,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122939.1+075920,12 29 39.1,+07 59 20,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4422336+7.9895695,12 29 46.15,+07 59 22.4,O,2009ApJ...690..512H,GlCl?,2009ApJ...690..512H
[JPB2009] 187.4488635+7.9904252,12 29 47.7272,+07 59 25.531,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122947.7+075926,12 29 47.7,+07 59 26,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122940.1+075927,12 29 40.1,+07 59 27,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4169901+7.9908588,12 29 40.0776,+07 59 27.092,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[JPB2009] 187.4168880+7.9911160,12 29 40.0531,+07 59 28.018,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[MKZ2003] OID  749,12 29 47.8,+07 59 34,O,2003ApJ...586..814M,Unknown,2003ApJ...586..814M
CXOMKZ J1229478+075934,12 29 47.8,+07 59 34,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.4390231+7.9933990,12 29 45.38,+07 59 36.1,O,2009ApJ...690..512H,GlCl,2009ApJ...690..512H
[CHP2004] J122953.7+075938,12 29 53.7,+07 59 38,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4438794+7.9945295,12 29 46.54,+07 59 40.2,O,2009ApJ...690..512H,GlCl,2009ApJ...690..512H
[JPB2009] 187.4130727+7.9947046,12 29 39.1374,+07 59 40.937,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122940.9+075943,12 29 40.9,+07 59 43,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122950.1+075944,12 29 50.1,+07 59 44,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4587832+7.9953942,12 29 50.1080,+07 59 43.419,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
CXOMKZ J1229490+075946,12 29 49.0,+07 59 46,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122943.5+075947,12 29 43.5,+07 59 47,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4658353+7.9966690,12 29 51.8005,+07 59 48.008,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[JPB2009] 187.4375580+7.9972720,12 29 45.0139,+07 59 50.179,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122945.0+075950,12 29 45.0,+07 59 50,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
