MAIN_ID,RA,DEC,COO_WAVELENGTH,COO_BIBCODE,OTYPE,COO_BIBCODE_2
[CHP2004] J122942.2+075702,12 29 42.2,+07 57 02,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[SGT2004] J122940.99+075744.2,12 29 41.00,+07 57 44.7,,2000AJ....120.2928Z,GlCl,2000AJ....120.2928Z
[CHP2004] J122941.0+075744,12 29 41.0,+07 57 44,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOU J122941.0+075744,12 29 41.0,+07 57 44,,2011MNRAS.410.1655M,Candidate_BH,2011MNRAS.410.1655M
[MKZ2003] OID  882,12 29 49.33,+07 57 53.7,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[CHP2004] J122949.3+075753,12 29 49.3,+07 57 53,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4463375+7.9760394,12 29 47.1210,+07 58 33.742,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
2XMM J123002.6+075839,12 30 02.619,+07 58 38.83,O,2009yCat.2294....0A,XB,2009yCat.2294....0A
[JPB2009] 187.4336694+7.9779441,12 29 44.0807,+07 58 40.599,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122944.1+075841,12 29 44.1,+07 58 41,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122946.3+075843,12 29 46.3,+07 58 43,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4538552+7.9793795,12 29 48.9252,+07 58 45.766,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
2XMM J122937.8+075845,12 29 37.790,+07 58 45.65,O,2009yCat.2294....0A,XB,2009yCat.2294....0A
[GLK96]  3289,12 29 37.79,+07 58 46.2,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[JPB2009] 187.4458773+7.9796141,12 29 47.0106,+07 58 46.611,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122947.0+075847,12 29 47.0,+07 58 47,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122942.0+075848,12 29 42.0,+07 58 48,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4547231+7.9806302,12 29 49.1335,+07 58 50.269,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122949.0+075851,12 29 49.0,+07 58 51,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
2XMM J122934.4+075851,12 29 34.475,+07 58 51.69,O,2009yCat.2294....0A,XB,2009yCat.2294....0A
[CHP2004] J122941.4+075854,12 29 41.4,+07 58 54,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122941.4+075904,12 29 41.4,+07 59 04,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  112,12 29 42.0,+07 59 06,O,2003ApJ...586..814M,Unknown,2003ApJ...586..814M
[H2009] NGC 4472  39,12 29 46.07,+07 59 15.1,O,2009ApJ...690..512H,GlCl?,2009ApJ...690..512H
CXOU J122946.0+075915,12 29 46.07,+07 59 15.1,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[MKZ2003] OID  543,12 29 46.1,+07 59 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
CXOMKZ J1229513+075917,12 29 51.3,+07 59 17,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.4413936+7.9879625,12 29 45.94,+07 59 16.6,O,2009ApJ...690..512H,GlCl,2009ApJ...690..512H
CXOMKZ J1229458+075919,12 29 45.8,+07 59 19,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.4130884+7.9887370,12 29 39.1412,+07 59 19.453,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[JPB2009] 187.4422336+7.9895695,12 29 46.15,+07 59 22.4,O,2009ApJ...690..512H,GlCl?,2009ApJ...690..512H
CXOMKZ J1229466+075925,12 29 46.6,+07 59 25,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.4488635+7.9904252,12 29 47.7272,+07 59 25.531,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[JPB2009] 187.4489454+7.9901281,12 29 47.7469,+07 59 24.461,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122947.7+075926,12 29 47.7,+07 59 26,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4169901+7.9908588,12 29 40.0776,+07 59 27.092,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
