MAIN_ID,RA,DEC,COO_WAVELENGTH,COO_BIBCODE,OTYPE,COO_BIBCODE_2
2XMM J122935.6+075327,12 29 35.654,+07 53 26.48,O,2009yCat.2294....0A,X,2009yCat.2294....0A
2XMM J122923.7+075359,12 29 23.735,+07 53 59.29,O,2009yCat.2294....0A,QSO,2009yCat.2294....0A
[GLK96]   637,12 29 42.58,+07 54 49.5,,2000AJ....120.2928Z,GlCl,2000AJ....120.2928Z
[CHP2004] J122942.2+075702,12 29 42.2,+07 57 02,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  129,12 29 42.3,+07 57 02,O,2003ApJ...586..814M,Unknown,2003ApJ...586..814M
[SGT2004] J122940.99+075744.2,12 29 41.00,+07 57 44.7,,2000AJ....120.2928Z,GlCl,2000AJ....120.2928Z
[CHP2004] J122941.0+075744,12 29 41.0,+07 57 44,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOU J122941.0+075744,12 29 41.0,+07 57 44,,2011MNRAS.410.1655M,Candidate_BH,2011MNRAS.410.1655M
[CHP2004] J122944.0+075532,12 29 44.0,+07 55 32,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[GLK96]  2045,12 29 39.05,+07 57 13.1,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[MKZ2003] OID  277,12 29 43.8,+07 57 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[MKZ2003] OID  273,12 29 43.8,+07 57 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[CHP2004] J122943.8+075715,12 29 43.8,+07 57 15,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID   48,12 29 41.4,+07 57 27,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[CHP2004] J122941.4+075727,12 29 41.4,+07 57 27,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[GLK96]  2341,12 29 32.76,+07 57 38.3,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[CHP2004] J122949.3+075753,12 29 49.3,+07 57 53,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  882,12 29 49.33,+07 57 53.7,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[CHP2004] J122933.5+075801,12 29 33.5,+07 58 01,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122941.5+075832,12 29 41.5,+07 58 32,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
2XMM J122937.8+075845,12 29 37.790,+07 58 45.65,O,2009yCat.2294....0A,XB,2009yCat.2294....0A
[JPB2009] 187.4168880+7.9911160,12 29 40.0531,+07 59 28.018,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[JPB2009] 187.4397698+7.9970483,12 29 45.5448,+07 59 49.374,O,2009ApJS..180...54J,GlCl?,2009ApJS..180...54J
2XMM J122930.0+074813,12 29 30.036,+07 48 13.51,O,2009yCat.2294....0A,QSO,2009yCat.2294....0A
[GLK96]  1047,12 29 33.50,+07 55 39.2,,2000AJ....120.2928Z,GlCl,2000AJ....120.2928Z
[GLK96]  2163,12 29 55.88,+07 57 23.2,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
CXOMKZ J1229559+075723,12 29 55.9,+07 57 23,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122938.7+075756,12 29 38.7,+07 57 56,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[C88] NGC 4472 196,12 29 43.87,+07 57 57.2,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[CHP2004] J122942.0+075848,12 29 42.0,+07 58 48,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122932.8+075858,12 29 32.8,+07 58 58,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122941.4+075904,12 29 41.4,+07 59 04,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOU J122946.0+075915,12 29 46.07,+07 59 15.1,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[H2009] NGC 4472  39,12 29 46.07,+07 59 15.1,O,2009ApJ...690..512H,GlCl?,2009ApJ...690..512H
[CHP2004] J122943.5+075947,12 29 43.5,+07 59 47,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4232498+8.0039230,12 29 41.5800,+08 00 14.123,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122941.6+080014,12 29 41.6,+08 00 14,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
NGC  4467,12 29 30.267,+07 59 34.62,I,2006AJ....131.1163S,GinGroup,2006AJ....131.1163S
2MASS J12293026+0759340,12 29 30.26,+07 59 34.1,I,2003yCat.2246....0C,XB,2003yCat.2246....0C
[CHP2004] J122950.4+080014,12 29 50.4,+08 00 14,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4599436+8.0037423,12 29 50.41,+08 00 13.3,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[JPB2009] 187.4411138+8.0248783,12 29 45.8673,+08 01 29.562,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122952.7+080156,12 29 52.7,+08 01 56,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229413+080339,12 29 41.3,+08 03 39,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
